1234567890,,100
Plane 1,Plane 2,Plane 3,Plane 4,Plane 5,Plane 6,Plane 7,Plane 8,Plane 9,Plane 10,Plane 11,Plane 12,Plane 13,Plane 14,outlet,inlet
 4.63376514e+003, 2.79190234e+003, -3.07404308e+001, -6.55440613e+002, -6.50743286e+002, -4.72418396e+002, -2.70782593e+002, -1.35557022e+002, -9.40711823e+001, -1.10085030e+002, -1.53404175e+002, -1.71414719e+002, -1.36646530e+002, -5.34676476e+001, -1.03381848e+000, 4.81627686e+003
 -1.77628699e+003, 6.61709656e+002, 4.93598785e+002, 5.77402771e+002, 2.50707443e+002, 9.82886276e+001, 6.12085876e+001, 5.84954758e+001, 2.75412369e+001, -1.49393845e+001, -7.50831604e+001, -1.02019302e+002, -8.73794708e+001, -3.54650230e+001, -1.51820743e+000, -1.79858789e+003
 -6.40312061e+003, -1.75338818e+003, 9.68351868e+002, 1.69649512e+003, 1.30305566e+003, 8.63927917e+002, 5.15458374e+002, 2.93448608e+002, 1.60962494e+002, 9.70005722e+001, 4.74424095e+001, 2.19404354e+001, 8.56598759e+000, 5.41377306e-001, -1.63453352e+000, -7.66712061e+003
 -7.13273828e+003, -1.75876050e+003, 1.46435376e+003, 2.23452539e+003, 2.09907788e+003, 1.66715186e+003, 1.15308411e+003, 7.29075500e+002, 4.53535522e+002, 3.24911194e+002, 2.31798126e+002, 1.70671417e+002, 1.10167534e+002, 3.72624474e+001, -1.22421694e+000, -1.00358643e+004
 -4.09152686e+003, 2.81266251e+001, 1.73355725e+003, 2.17636206e+003, 2.35791162e+003, 2.21556104e+003, 1.83202808e+003, 1.35947705e+003, 9.57436646e+002, 7.25709473e+002, 5.18403625e+002, 3.55509460e+002, 2.12926605e+002, 7.04728928e+001, -5.17365992e-001, -7.48132666e+003
 4.69334106e+002, 1.79006067e+003, 1.78409387e+003, 1.81427026e+003, 2.13964551e+003, 2.31734277e+003, 2.26437720e+003, 1.98657166e+003, 1.59150305e+003, 1.27879993e+003, 9.19201477e+002, 6.11122009e+002, 3.47216309e+002, 1.11856949e+002, -1.23450048e-002, -1.73702625e+003
 3.53316968e+003, 2.57862671e+003, 1.71628760e+003, 1.46980078e+003, 1.73874500e+003, 2.05611230e+003, 2.29029395e+003, 2.31894458e+003, 2.11048706e+003, 1.82629883e+003, 1.38894080e+003, 9.49766602e+002, 5.43380737e+002, 1.75854782e+002, 7.66277174e-003, 2.74825000e+003
 4.46566504e+003, 2.50668213e+003, 1.58531238e+003, 1.29650146e+003, 1.42168738e+003, 1.67595764e+003, 1.99050903e+003, 2.22970313e+003, 2.26797412e+003, 2.12799023e+003, 1.76870056e+003, 1.29482825e+003, 7.78389221e+002, 2.58106842e+002, 2.41225958e-002, 5.78973828e+003
 3.54717505e+003, 2.03442981e+003, 1.48024829e+003, 1.29597754e+003, 1.28775781e+003, 1.37920117e+003, 1.57932642e+003, 1.82688525e+003, 2.00361975e+003, 2.02206543e+003, 1.84917346e+003, 1.47036292e+003, 9.40321777e+002, 3.22305267e+002, 3.56280878e-002, 4.59312549e+003
 1.46920264e+003, 1.41904907e+003, 1.41469312e+003, 1.38625195e+003, 1.29333594e+003, 1.22778699e+003, 1.22943250e+003, 1.32067444e+003, 1.45880969e+003, 1.53750122e+003, 1.51995081e+003, 1.30328882e+003, 8.82488220e+002, 3.10952240e+002, 2.94628069e-002, 1.45237573e+003
 -3.98559540e+002, 8.04137817e+002, 1.33650452e+003, 1.44873230e+003, 1.32239514e+003, 1.15587000e+003, 9.87362061e+002, 8.77194641e+002, 8.46222839e+002, 8.55609131e+002, 8.56541992e+002, 7.68491516e+002, 5.41315430e+002, 1.93815491e+002, 1.60643831e-002, -9.77387451e+002
