1234567890,,100
通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16
111.492,106.8,106.419,103.195,105.808,100.525,109.222,106.743,108.04,115.669,113.667,117.081,115.078,118.492,6.683,5.901
105.064,103.1,105.217,108.803,89.481,102.89,112.942,109.795,110.977,117.92,108.402,114.735,113.705,113.743,4.852,2.43
105.846,101.097,96.71,119.026,104.473,105.694,117.214,113.743,109.985,116.756,107.162,110.519,107.677,107.62,2.506,9.869
89.653,114.754,107.048,105.865,106.419,111.034,115.154,113.552,109.051,114.792,106.609,109.165,108.345,109.413,-5.791,15.038
105.064,107.544,105.999,113.056,111.359,105.77,112.961,107.544,105.541,113.991,106.113,111.931,110.443,111.988,13.34,1.476
109.756,113.323,112.942,108.688,100.372,104.683,110.767,105.255,104.168,113.552,109.203,111.282,108.841,112.942,3.288,4.509
120.476,106.667,111.702,112.064,105.331,102.528,113.209,107.182,103.329,116.032,107.086,105.179,108.383,109.966,10.365,2.64
104.969,113.094,108.288,114.067,104.931,107.582,117.405,110.577,102.432,113.991,105.694,103.233,104.168,108.002,1.82,7.504
107.525,107.258,107.811,115.822,95.623,112.77,118.797,109.241,106.209,112.732,110.863,106.495,108.307,106.915,3.117,6.13
103.539,113.857,100.353,107.544,115.898,107.983,115.765,108.116,107.658,114.544,108.097,110.329,112.37,112.446,0.79,10.86
98.522,113.895,114.62,106.171,101.44,101.803,115.479,105.808,103.786,116.051,112.77,117.519,116.28,117.615,5.386,-4.436
109.489,107.334,102.489,107.964,106.953,102.68,113.743,108.517,107.677,119.122,111.282,114.868,112.465,115.879,15.61,2.888
101.383,101.269,106.533,109.718,95.737,106.59,117.195,115.726,106.8,118.511,110.996,103.31,111.301,112.293,1.419,5.52
101.479,110.424,96.367,108.974,106.514,107.887,116.261,111.549,107.353,120.514,110.939,107.258,111.855,112.713,6.035,10.326
96.291,110.004,105.446,110.424,102.032,106.495,111.721,100.487,107.258,118.683,108.04,108.173,113.285,111.797,0.98,3.918
114.487,111.473,111.664,109.337,107.983,105.961,111.244,104.34,106.285,113.838,108.459,106.781,109.795,109.108,6.378,5.806
113.991,114.41,114.944,102.413,117.996,108.879,113.056,102.909,106.152,115.078,102.871,100.163,105.713,106.285,6.054,1.743
116.241,102.413,114.811,121.105,102.699,112.331,116.013,109.299,106.323,112.37,101.669,103.901,103.806,106.037,9.106,-5.962
